Character   Count
=================

the         :1507x
and         : 714x
to          : 703x
a           : 606x
of          : 490x
she         : 484x
said        : 416x
it          : 346x
in          : 344x
was         : 328x
I           : 261x
you         : 252x
as          : 237x
Alice       : 221x
that        : 213x
her         : 203x
at          : 197x
had         : 175x
with        : 167x
all         : 150x
on          : 138x
be          : 136x
very        : 126x
for         : 125x
`I          : 121x
little      : 117x
they        : 107x
so          : 103x
not         : 103x
but         : 102x
out         :  96x
he          :  94x
his         :  93x
The         :  89x
what        :  85x
this        :  85x
about       :  84x
were        :  82x
up          :  81x
went        :  79x
down        :  77x
one         :  77x
Alice,      :  76x
like        :  74x
have        :  73x
if          :  69x
or          :  68x
would       :  68x
into        :  67x
when        :  66x
no          :  64x
is          :  63x
thought     :  63x
could       :  62x
*           :  60x
its         :  56x
Mock        :  56x
my          :  55x
Alice.      :  54x
quite       :  53x
your        :  53x
by          :  53x
an          :  52x
did         :  50x
their       :  50x
then        :  50x
them        :  49x
And         :  49x
who         :  48x
don't       :  48x
see         :  47x
began       :  47x
some        :  47x
do          :  46x
time        :  46x
me          :  46x
know        :  45x
looked      :  45x
got         :  45x
there       :  44x
get         :  43x
just        :  43x
only        :  43x
herself     :  40x
such        :  40x
much        :  40x
great       :  39x
`and        :  39x
must        :  39x
came        :  38x
go          :  38x
off         :  38x
it,         :  38x
which       :  37x
how         :  37x
never       :  37x
think       :  37x
more        :  37x
way         :  37x
any         :  36x
been        :  36x
I'm         :  36x
thing       :  35x
after       :  35x
are         :  35x
say         :  35x
Queen       :  34x
Turtle      :  33x
She         :  33x
`What       :  32x
large       :  32x
over        :  31x
from        :  31x
again,      :  31x
put         :  31x
herself,    :  31x
March       :  31x
`You        :  30x
looking     :  30x
round       :  30x
Rabbit      :  29x
back        :  29x
long        :  29x
head        :  29x
heard       :  29x
made        :  29x
found       :  28x
first       :  28x
well        :  27x
can         :  27x
seemed      :  27x
might       :  27x
King        :  27x
can't       :  27x
should      :  27x
on,         :  27x
tell        :  26x
other       :  26x
going       :  26x
upon        :  26x
said,       :  26x
make        :  26x
you,        :  25x
poor        :  25x
look        :  25x
it's        :  25x
rather      :  25x
last        :  25x
`It         :  24x
Hatter      :  24x
without     :  24x
I'll        :  23x
felt        :  23x
soon        :  23x
So          :  23x
good        :  23x
will        :  23x
Dormouse    :  23x
now         :  23x
three       :  23x
took        :  23x
than        :  22x
Gryphon     :  22x
nothing     :  22x
come        :  22x
White       :  22x
them,       :  21x
too         :  21x
him         :  21x
another     :  21x
getting     :  21x
moment      :  21x
half        :  21x
same        :  21x
won't       :  21x
wish        :  21x
shall       :  21x
right       :  20x
I've        :  20x
`Well,      :  20x
two         :  20x
added       :  20x
next        :  20x
find        :  20x
`Oh,        :  19x
`but        :  19x
There       :  19x
things      :  19x
`I'm        :  19x
before      :  19x
till        :  19x
being       :  19x
`But        :  19x
and,        :  19x
tried       :  18x
once        :  18x
cried       :  18x
it,'        :  18x
eyes        :  18x
take        :  18x
her,        :  18x
sort        :  17x
Mouse       :  17x
even        :  17x
voice       :  17x
sat         :  17x
Queen,      :  17x
this,       :  17x
`And        :  17x
again.      :  16x
eat         :  16x
sure        :  16x
is,         :  16x
under       :  16x
ever        :  16x
use         :  16x
tone,       :  16x
Hare        :  16x
curious     :  16x
Alice;      :  16x
turned      :  16x
doesn't     :  16x
Duchess     :  15x
called      :  15x
`It's       :  15x
it.         :  15x
`The        :  15x
It          :  15x
you're      :  15x
wonder      :  15x
Gryphon.    :  15x
away        :  15x
door        :  15x
King,       :  15x
voice,      :  15x
while       :  15x
But         :  15x
there's     :  15x
minute      :  15x
we          :  15x
This        :  15x
`How        :  15x
both        :  14x
off,        :  14x
hear        :  14x
here        :  14x
words       :  14x
idea        :  14x
set         :  14x
something   :  14x
was,        :  14x
Gryphon,    :  14x
He          :  14x
replied     :  14x
anything    :  14x
`That's     :  14x
`If         :  13x
grow        :  13x
ought       :  13x
again       :  13x
her.        :  13x
whole       :  13x
left        :  13x
old         :  13x
saw         :  13x
However,    :  13x
anxiously   :  13x
kept        :  13x
gave        :  13x
out,        :  13x
near        :  13x
that's      :  13x
Hatter.     :  13x
am          :  13x
ran         :  13x
`I've       :  13x
still       :  12x
turning     :  12x
used        :  12x
As          :  12x
behind      :  12x
wouldn't    :  12x
Caterpillar.:  12x
VERY        :  12x
knew        :  12x
CHAPTER     :  12x
among       :  12x
remember    :  12x
side        :  12x
try         :  12x
down,       :  12x
end         :  12x
every       :  12x
perhaps     :  12x
talking     :  12x
King.       :  12x
seen        :  12x
many        :  12x
through     :  12x
close       :  12x
whether     :  11x
`Then       :  11x
course      :  11x
day         :  11x
hardly      :  11x
always      :  11x
hurried     :  11x
`Of         :  11x
Caterpillar :  11x
before,     :  11x
Hare.       :  11x
may         :  11x
see,        :  11x
feet        :  11x
these       :  11x
trying      :  11x
wasn't      :  11x
it?'        :  11x
better      :  11x
beginning   :  11x
makes       :  11x
deal        :  11x
hand        :  11x
Queen.      :  11x
saying      :  11x
glad        :  11x
because     :  11x
didn't      :  11x
talk        :  10x
people      :  10x
sitting     :  10x
done        :  10x
nearly      :  10x
thinking    :  10x
For         :  10x
having      :  10x
enough      :  10x
walked      :  10x
voice.      :  10x
Hatter,     :  10x
it:         :   9x
shouted     :   9x
Turtle.     :   9x
join        :   9x
(she        :   9x
that,'      :   9x
`Not        :   9x
opened      :   9x
help        :   9x
dear!       :   9x
up,         :   9x
suddenly    :   9x
`A          :   9x
`No,        :   9x
us          :   9x
everything  :   9x
own         :   9x
few         :   9x
`Come,      :   9x
change      :   9x
against     :   9x
want        :   9x
it;         :   9x
know.'      :   9x
gone        :   9x
afraid      :   9x
Then        :   9x
rest        :   9x
`They       :   9x
not,        :   9x
couldn't    :   9x
far         :   9x
really      :   9x
tone.       :   9x
give        :   9x
How         :   9x
shook       :   9x
jury        :   9x
read        :   9x
it.'        :   9x
They        :   9x
queer       :   9x
cats        :   9x
waited      :   9x
Dodo        :   9x
those       :   9x
THE         :   9x
two,        :   9x
door,       :   9x
they're     :   9x
house,      :   9x
reason      :   8x
believe     :   8x
Duchess,    :   8x
cook        :   8x
making      :   8x
soldiers    :   8x
top         :   8x
repeated    :   8x
you'd       :   8x
else        :   8x
`it's       :   8x
know.       :   8x
most        :   8x
`you        :   8x
"I          :   8x
fan         :   8x
followed    :   8x
please      :   8x
room        :   8x
`Why,       :   8x
`Off        :   8x
running     :   8x
`Do         :   8x
`Yes,       :   8x
`We         :   8x
bit         :   8x
IS          :   8x
play        :   8x
Alice's     :   8x
herself.    :   8x
know,'      :   8x
certainly   :   8x
small       :   8x
tone        :   8x
A           :   8x
feel        :   8x
beautiful   :   8x
on.         :   8x
suppose     :   8x
lying       :   8x
house       :   8x
asked       :   8x
matter      :   8x
At          :   8x
asked.      :   8x
explain     :   8x
keep        :   8x
speak       :   8x
name        :   8x
Rabbit,     :   8x
Turtle,     :   8x
opportunity :   8x
Cat         :   8x
hard        :   8x
itself      :   8x
Mouse,      :   8x
`that       :   7x
first,      :   7x
mouth       :   7x
head!'      :   7x
meaning     :   7x
ask         :   7x
dry         :   7x
work        :   7x
it!'        :   7x
tired       :   7x
each        :   7x
question    :   7x
word        :   7x
hastily     :   7x
When        :   7x
so,         :   7x
YOU         :   7x
round,      :   7x
way,        :   7x
offended    :   7x
baby        :   7x
best        :   7x
table       :   7x
YOUR        :   7x
let         :   7x
where       :   7x
`Why        :   7x
live        :   7x
hadn't      :   7x
wondering   :   7x
golden      :   7x
frightened  :   7x
ready       :   7x
you?'       :   7x
again!'     :   7x
face        :   7x
seem        :   7x
`if         :   7x
do,         :   7x
changed     :   7x
Queen's     :   7x
that!'      :   7x
I'd         :   7x
could,      :   7x
Cat,        :   7x
party       :   7x
begin       :   7x
low         :   7x
cat         :   7x
birds       :   7x
goes        :   7x
haven't     :   7x
arm         :   7x
know,       :   7x
waiting     :   7x
least       :   7x
noticed     :   7x
Why,        :   7x
bottle      :   7x
finished    :   7x
why         :   7x
beg         :   7x
Alice:      :   7x
minutes     :   7x
Knave       :   7x
our         :   7x
Majesty,'   :   7x
stood       :   7x
grown       :   7x
bright      :   7x
mean        :   7x
heads       :   7x
continued   :   7x
almost      :   6x
about,      :   6x
inches      :   6x
you,'       :   6x
world       :   6x
feet,       :   6x
low,        :   6x
leave       :   6x
Cheshire    :   6x
You         :   6x
growing     :   6x
however,    :   6x
hold        :   6x
four        :   6x
times       :   6x
thought,    :   6x
yet         :   6x
forgotten   :   6x
moral       :   6x
game        :   6x
fall        :   6x
manage      :   6x
thing!'     :   6x
dreadfully  :   6x
time,       :   6x
It's        :   6x
hands       :   6x
